time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/06/18:40:42.007137,"(-0.010863560076274285,)","(0.0,)","(0.0002651289267762678,)","(-0.010863560076274285,)","(2.9996585067424353,)",0.0,0.0,0.0
2023/12/06/18:40:42.406055,"(-0.01046927105570405,)","(-0.005861254229884528,)","(-0.0010814768538848327,)","(-0.01046927105570405,)","(3.0346540780369367,)",0.0,0.0,0.0
2023/12/06/18:40:42.805018,"(-0.011476045935558765,)","(-0.0017272630610909888,)","(0.022200257598127927,)","(-0.011476045935558765,)","(3.0360591655847693,)",0.0,0.0,0.0
2023/12/06/18:40:43.203003,"(0.038478116331570646,)","(0.278110431939993,)","(0.07986178020238963,)","(0.038478116331570646,)","(3.0380293183645453,)",0.0,0.0,0.0
2023/12/06/18:40:43.601385,"(0.13572074133795528,)","(0.26121886115792525,)","(0.08868688556495725,)","(0.13572074133795528,)","(3.03802201534619,)",0.0,0.0,0.0
2023/12/06/18:40:43.999588,"(0.2002262583344128,)","(0.2561754646945757,)","(0.1373993666795448,)","(0.2002262583344128,)","(3.0224476648726175,)",0.0,0.0,0.0
2023/12/06/18:40:44.396718,"(0.31710916484279744,)","(0.45361359817264046,)","(0.2552348537810717,)","(0.31710916484279744,)","(3.0114355266815447,)",0.0,0.0,0.0
2023/12/06/18:40:44.794468,"(0.47865124838826656,)","(0.47926613224324655,)","(0.2955665216629385,)","(0.47865124838826656,)","(3.02254720493798,)",0.0,0.0,0.0
2023/12/06/18:40:45.192757,"(0.5775260227113211,)","(0.3763567771525398,)","(0.31802472874084403,)","(0.5775260227113211,)","(3.0538232445030182,)",0.0,0.0,0.0
2023/12/06/18:40:45.590652,"(0.7149250201875395,)","(0.4978768499062572,)","(0.3571592231518377,)","(0.7149250201875395,)","(3.1142847261247963,)",0.0,0.0,0.0
2023/12/06/18:40:45.988871,"(0.8002389467689185,)","(0.398313251088793,)","(0.3389809377674444,)","(0.8002389467689185,)","(3.1680223877193416,)",0.0,0.0,0.0
2023/12/06/18:40:46.387594,"(0.9186689901007589,)","(0.4870552159908184,)","(0.3765278116960325,)","(0.9186689901007589,)","(3.2620664877927066,)",0.0,0.0,0.0
2023/12/06/18:40:46.785640,"(1.0629915232496174,)","(0.47647968088901077,)","(0.3437869681375199,)","(1.0629915232496174,)","(3.3333327229084615,)",0.0,0.0,0.0
2023/12/06/18:40:47.184314,"(1.179785943974299,)","(0.38698196570169274,)","(0.35007487643125923,)","(1.179785943974299,)","(3.365636563285679,)",0.0,0.0,0.0
2023/12/06/18:40:47.582422,"(1.2892070538528566,)","(0.39109968742123585,)","(0.37039421628307356,)","(1.2892070538528566,)","(3.4041350563323567,)",0.0,0.0,0.0
2023/12/06/18:40:47.980567,"(1.4086326624464474,)","(0.43063934455086494,)","(0.35891321525880376,)","(1.4086326624464474,)","(3.4501619856876067,)",0.0,0.0,0.0
2023/12/06/18:40:48.379388,"(1.48241244532807,)","(0.3826927705490397,)","(0.3612582255114972,)","(1.48241244532807,)","(3.495622914480058,)",0.0,0.0,0.0
2023/12/06/18:40:48.778842,"(1.6046465705007407,)","(0.4803343413378614,)","(0.37048156083648753,)","(1.6046465705007407,)","(3.594100839268677,)",0.0,0.0,0.0
2023/12/06/18:40:49.176764,"(1.7206175699969515,)","(0.4465314980751323,)","(0.3375740979498838,)","(1.7206175699969515,)","(3.6658242162354,)",0.0,0.0,0.0
2023/12/06/18:40:49.574624,"(1.8518576716597523,)","(0.40966236694669333,)","(0.3227906877590958,)","(1.8518576716597523,)","(3.737601806661238,)",0.0,0.0,0.0
2023/12/06/18:40:49.972783,"(1.9928187897887353,)","(0.4604323771959317,)","(0.3234614878654786,)","(1.9928187897887353,)","(3.7979833427890073,)",0.0,0.0,0.0
2023/12/06/18:40:50.371256,"(2.1585613326127757,)","(0.4881009086773549,)","(0.32661352781063036,)","(2.1585613326127757,)","(3.864190402043418,)",0.0,0.0,0.0
2023/12/06/18:40:50.770239,"(2.31672046763505,)","(0.45486934554982233,)","(0.309915969826467,)","(2.31672046763505,)","(3.930232343555974,)",0.0,0.0,0.0
2023/12/06/18:40:51.167788,"(2.4518683491876008,)","(0.41811293721513243,)","(0.3151070269735781,)","(2.4518683491876008,)","(3.9682194079384416,)",0.0,0.0,0.0
2023/12/06/18:40:51.565280,"(2.5827286338100217,)","(0.43649881806662316,)","(0.33764945567353405,)","(2.5827286338100217,)","(4.010144477428636,)",0.0,0.0,0.0
2023/12/06/18:40:51.964164,"(2.7258176609245823,)","(0.4594174518216424,)","(0.3363434755486054,)","(2.7258176609245823,)","(4.054405304550324,)",0.0,0.0,0.0
2023/12/06/18:40:52.362326,"(2.887234849364884,)","(0.4845740362352935,)","(0.34244163322051263,)","(2.887234849364884,)","(4.099707902645796,)",0.0,0.0,0.0
2023/12/06/18:40:52.760435,"(3.023576078452947,)","(0.43247231611247416,)","(0.3531846273811631,)","(3.023576078452947,)","(4.124019076500566,)",0.0,0.0,0.0
2023/12/06/18:40:53.158759,"(3.145274656178672,)","(0.4139275613448054,)","(0.3516939461413179,)","(3.145274656178672,)","(4.161518399105709,)",0.0,0.0,0.0
2023/12/06/18:40:53.557400,"(3.2850914161637315,)","(0.4643169704908973,)","(0.3686708258173676,)","(3.2850914161637315,)","(4.220735871424775,)",0.0,0.0,0.0
2023/12/06/18:40:53.957146,"(3.4547602854529638,)","(0.4806006445295619,)","(0.3616931715675282,)","(3.4547602854529638,)","(4.277443848728928,)",0.0,0.0,0.0
2023/12/06/18:40:54.355134,"(3.6097330602035065,)","(0.4454273408581437,)","(0.3770097590480349,)","(3.6097330602035065,)","(4.322434592947843,)",0.0,0.0,0.0
2023/12/06/18:40:54.753255,"(3.7296014461256473,)","(0.41111847696404574,)","(0.39653657765993044,)","(3.7296014461256473,)","(4.371341044529908,)",0.0,0.0,0.0
2023/12/06/18:40:55.151069,"(3.8066112713739706,)","(0.38660983623982526,)","(0.4074883758370835,)","(3.8066112713739706,)","(4.385131127194622,)",0.0,0.0,0.0
2023/12/06/18:40:55.549321,"(3.9500930144673965,)","(0.4783738645558154,)","(0.37278757130056983,)","(3.9500930144673965,)","(4.388449719167626,)",0.0,0.0,0.0
2023/12/06/18:40:55.947049,"(4.108154427746879,)","(0.47937883047688423,)","(0.38773189746347825,)","(4.108154427746879,)","(4.43495906866399,)",0.0,0.0,0.0
2023/12/06/18:40:56.346605,"(4.235255548779063,)","(0.41704288976569204,)","(0.381600285739102,)","(4.235255548779063,)","(4.498541348577292,)",0.0,0.0,0.0
2023/12/06/18:40:56.744037,"(4.362490630565266,)","(0.44348294933537175,)","(0.36727572657434215,)","(4.362490630565266,)","(4.559414756523522,)",0.0,0.0,0.0
2023/12/06/18:40:57.141944,"(4.4911017248713625,)","(0.4541940942248164,)","(0.3621327080342895,)","(4.4911017248713625,)","(4.6228718633497206,)",0.0,0.0,0.0
2023/12/06/18:40:57.539195,"(4.630954920440766,)","(0.4585409827155548,)","(0.35716002397005314,)","(4.630954920440766,)","(4.684886034450682,)",0.0,0.0,0.0
2023/12/06/18:40:57.937347,"(4.762548713941406,)","(0.4321952594883538,)","(0.358626801953048,)","(4.762548713941406,)","(4.74517382772562,)",0.0,0.0,0.0
2023/12/06/18:40:58.334605,"(4.900528014561095,)","(0.44444177835380044,)","(0.3633715963719951,)","(4.900528014561095,)","(4.7989824057545,)",0.0,0.0,0.0
2023/12/06/18:40:58.731761,"(5.0566432641246095,)","(0.463497360635665,)","(0.3637527712130532,)","(5.0566432641246095,)","(4.851275640917578,)",0.0,0.0,0.0
2023/12/06/18:40:59.130904,"(5.2090939426151515,)","(0.45423255080354363,)","(0.36704482810905853,)","(5.2090939426151515,)","(4.903447662998241,)",0.0,0.0,0.0
