time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading,.flag
2023/12/07/12:16:21.478238,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023/12/07/12:16:21.876904,1,0,0,,0.04868247646386523,0.2738541368185934,0.0581120274061824,0.03333661842775468,2.9999261229307983,0.0,0.0,0.0,0
2023/12/07/12:16:22.275632,2,0,0,,0.05132266201278479,0.2970043134897214,0.07935697395780644,0.035912212767125425,3.046088054784462,0.0,0.0,0.0,0
2023/12/07/12:16:22.673249,3,0,0,,0.05376637538111597,0.3047251216102718,0.09602179907420431,0.0356680558102701,3.059882688459838,0.0,0.0,0.0,0
2023/12/07/12:16:23.070973,4,0,0,,0.1497225144806504,0.5733942494997551,0.18004326296616643,0.17555817520663014,3.074064446436414,0.0,0.0,0.0,0
2023/12/07/12:16:23.469068,5,0,0,,0.13321204759515073,0.527972025078485,0.20158896720524908,0.22947085461294794,3.079784666689134,0.0,0.0,0.0,0
2023/12/07/12:16:23.867509,6,0,0,,0.16211340043683392,0.3839664909563109,0.2940693579975785,0.38830140384452844,3.1122440448715323,0.0,0.0,0.0,0
2023/12/07/12:16:24.265616,7,0,0,,0.2,0.7410960382654772,0.3775521887786701,0.5797158739361636,3.170213904584093,0.0,0.0,0.0,0
2023/12/07/12:16:24.664495,8,0,0,,0.13117290652135652,0.47259067960747614,0.286390418398696,0.3011580155134941,3.09186642133457,0.0,0.0,0.0,0
2023/12/07/12:16:25.062760,9,0,0,,0.2,0.6405385385433228,0.3451388090953026,0.4766073005811209,3.1268699738318273,0.0,0.0,0.0,0
2023/12/07/12:16:25.460690,10,0,0,,0.19689815541618114,0.46707508979571394,0.4583493460591874,0.6618940761821316,3.193485995881151,0.0,0.0,0.0,0
2023/12/07/12:16:25.859509,11,0,0,,0.19999906507932033,0.664678809589612,0.37947996404876666,0.6266032468235487,3.1694641911267967,0.0,0.0,0.0,0
2023/12/07/12:16:26.258075,12,0,0,,0.19999815497553497,0.4603732846026363,0.39732025998298465,0.8123730134650841,3.243551003721708,0.0,0.0,0.0,0
2023/12/07/12:16:26.656095,13,0,0,,0.1729652824975057,0.6961563975076395,0.47273067006539926,0.7209379761431162,3.199060854478167,0.0,0.0,0.0,0
2023/12/07/12:16:27.054744,14,0,0,,0.19930047538104861,0.4249710310348274,0.5142762717386421,0.8983809861171981,3.289806249966022,0.0,0.0,0.0,0
2023/12/07/12:16:27.452770,15,0,0,,0.19973691318602746,0.5270048584375252,0.43992884579050917,0.8763125189365419,3.225974009466664,0.0,0.0,0.0,0
2023/12/07/12:16:27.850628,16,0,0,,0.17376237914879522,0.4504628015871044,0.46697565815092973,1.0335751953803909,3.299991565369999,0.0,0.0,0.0,0
2023/12/07/12:16:28.250172,17,0,0,,0.2,0.702265177938344,0.39349111955241367,1.0397019443019577,3.2579497830252993,0.0,0.0,0.0,0
2023/12/07/12:16:28.649379,18,0,0,,0.2,0.4227973512565658,0.4677874557807398,1.2244171821215803,3.334632798816826,0.0,0.0,0.0,0
2023/12/07/12:16:29.046977,19,0,0,,0.19981335096012012,0.5865221759278717,0.4545287651635811,1.1781215412181858,3.32665078355274,0.0,0.0,0.0,0
2023/12/07/12:16:29.445434,20,0,0,,0.19704260401518994,0.5219040209012988,0.4832579261418617,1.3551580653866462,3.4131601047290783,0.0,0.0,0.0,0
2023/12/07/12:16:29.843775,21,0,0,,0.19494677833380725,0.7430485586529242,0.47659509491775043,1.3262749033596055,3.382845964649958,0.0,0.0,0.0,0
2023/12/07/12:16:30.241810,22,0,0,,0.2,0.5418527916064632,0.45436490630233534,1.4966521750464388,3.4241497701194246,0.0,0.0,0.0,0
2023/12/07/12:16:30.640625,23,0,0,,0.2,0.7097661235832352,0.46723261398499305,1.6563502433566715,3.501794318135442,0.0,0.0,0.0,0
2023/12/07/12:16:31.038337,24,0,0,,0.2,0.4152964056274312,0.49017774425145477,1.8349138890263115,3.5918777707775944,0.0,0.0,0.0,0
2023/12/07/12:16:31.436088,25,0,0,,0.18210024417861928,0.6977159801332328,0.5096567426088948,1.9536034485123002,3.649030555469959,0.0,0.0,0.0,0
2023/12/07/12:16:31.834806,26,0,0,,0.2,0.6848937732790739,0.45184996266568234,2.092055862674143,3.689077360222129,0.0,0.0,0.0,0
2023/12/07/12:16:32.244610,27,0,0,,0.2,0.49701462059419543,0.3967334385250554,2.381245269810086,3.8273940282577827,0.0,0.0,0.0,0
2023/12/07/12:16:32.629869,28,0,0,,0.1672727563155941,0.6178726202410528,0.43847372098594356,2.495639174095212,3.900755706892682,0.0,0.0,0.0,0
2023/12/07/12:16:33.027604,29,0,0,,0.18592358398822775,0.6085212335524521,0.4175291287563579,2.778890587144974,4.038747169832565,0.0,0.0,0.0,0
2023/12/07/12:16:33.425797,30,0,0,,0.2,0.5325991795005873,0.3857601979089386,2.9453810180717355,4.146123165011728,0.0,0.0,0.0,0
2023/12/07/12:16:33.823478,31,0,0,,0.2,0.4350879344116186,0.4171112627411425,3.255747481053449,4.341811386449975,0.0,0.0,0.0,0
2023/12/07/12:16:34.221487,32,0,0,,0.15203461716278524,0.4993573953671877,0.43417438241729495,3.3315250451786076,4.405945878830819,0.0,0.0,0.0,0
2023/12/07/12:16:34.619362,33,0,0,,0.2,0.5295790000009585,0.3691483053597588,3.6945524518906514,4.55840397550678,0.0,0.0,0.0,0
2023/12/07/12:16:35.017056,34,0,0,,0.187194617004006,0.6091271901345233,0.4095606223784776,3.9102953659216375,4.6621084476025825,0.0,0.0,0.0,0
2023/12/07/12:16:35.414894,35,0,0,,0.2,0.5904673607196269,0.3541529511103231,4.072855507409142,4.732839526949733,0.0,0.0,0.0,0
2023/12/07/12:16:35.812519,36,0,0,,0.16350228552837207,0.543604963593732,0.37978366590917295,4.28552324213142,4.860517876447118,0.0,0.0,0.0,0
2023/12/07/12:16:36.212180,37,0,0,,0.19895392512573018,0.6235728378615976,0.3686291011249772,4.603454713096885,5.00358920594113,0.0,0.0,0.0,0
2023/12/07/12:16:36.608471,38,0,0,,0.19275732119925143,0.460747304554884,0.33432807932357334,4.783263022979003,5.07304679424686,0.0,0.0,0.0,0
2023/12/07/12:16:37.007443,39,0,0,,0.2,0.664315224621423,0.2996862407395537,4.972189233053009,5.138673702900248,0.0,0.0,0.0,0
2023/12/07/12:16:37.405759,40,0,0,,0.2,0.6027309625494904,0.31973990492693033,4.853671851787926,5.165946873389496,0.0,0.0,0.0,0
2023/12/07/12:16:37.803200,41,0,0,,0.18065529657735374,0.5857834767419877,0.3286111704588225,4.902877029574328,5.219502520009682,0.0,0.0,0.0,0
2023/12/07/12:16:38.201135,42,0,0,,0.2,0.6126376295468541,0.31299158865360294,5.028984773925126,5.315310356203564,0.0,0.0,0.0,0
2023/12/07/12:16:38.599432,43,0,0,,0.17289020505508174,0.5579008672972056,0.2587779046375791,5.12150244376828,5.37924275225559,0.0,0.0,0.0,0
2023/12/07/12:16:38.997953,44,0,0,,0.1989764378357689,0.6218137993275874,0.32383425468770977,5.451781283114241,5.528348386276316,0.0,0.0,0.0,0
2023/12/07/12:16:39.396021,45,0,0,,0.2,0.589346553881813,0.3374584948072513,5.623577908632381,5.569799858632035,0.0,0.0,0.0,0
2023/12/07/12:16:39.794180,46,0,0,,0.2,0.6205870026562058,0.2747242857261491,5.766154265290335,5.6071029486965775,0.0,0.0,0.0,0
2023/12/07/12:16:40.192346,47,0,0,,0.2,0.6108835568873915,0.3242815658603818,6.04243557921843,5.721337486070783,0.0,0.0,0.0,0
2023/12/07/12:16:40.590315,48,0,0,,0.2,0.603319485223198,0.31966470078880693,6.200659043110226,5.751336358583615,0.0,0.0,0.0,0
2023/12/07/12:16:40.989362,49,0,0,,0.2,0.5953818093119796,0.2950223483787316,6.37055173880905,5.789559788381584,0.0,0.0,0.0,0
2023/12/07/12:16:41.389894,50,0,0,,0.2,0.5779519914044899,0.309401765059515,6.551090166176748,5.855489167242391,0.0,0.0,0.0,0
2023/12/07/12:16:41.787458,51,0,0,,0.2,0.6116509277071687,0.31163103489298827,6.730681609780321,5.913344470911664,0.0,0.0,0.0,0
2023/12/07/12:16:42.186404,52,0,0,,0.18501002828124105,0.6026030226554293,0.2996848873277408,6.823634568120123,5.914722131479778,0.0,0.0,0.0,0
2023/12/07/12:16:42.584355,53,0,0,,0.2,0.5914428027210815,0.280071715215092,7.007794992507997,5.914860725626984,0.0,0.0,0.0,0
2023/12/07/12:16:42.946284,54,0,0,,0.2,0.5432309725428461,0.30208243984379185,7.1916723318211675,5.962617563548034,0.0,0.0,0.0,0
2023/12/07/12:16:43.344242,55,0,0,,0.18207929444798288,0.4810219339542582,0.2945922180141217,7.3655068964835895,6.016787791490159,0.0,0.0,0.0,0
2023/12/07/12:16:43.745481,56,0,0,,0.1839341071088677,0.5746505531817735,0.2671180766515196,7.23778044262092,5.991960996655657,0.0,0.0,0.0,0
2023/12/07/12:16:44.141810,57,0,0,,0.19272437134524548,0.5094842360135381,0.2533626377023926,7.423670460182945,6.042831044662119,0.0,0.0,0.0,0
2023/12/07/12:16:44.540544,58,0,0,,0.174228579016817,0.5915106640850741,0.3330310449372194,7.3996198893025715,6.065371773837445,0.0,0.0,0.0,0
2023/12/07/12:16:44.938662,59,0,0,,0.17144578347949604,0.5860986448746797,0.2827665860201595,7.524365918448911,6.079555368026768,0.0,0.0,0.0,0
2023/12/07/12:16:45.336272,60,0,0,,0.2,0.6074090024505837,0.23185982063898086,7.67696918687161,6.119045720550006,0.0,0.0,0.0,0
2023/12/07/12:16:45.733866,61,0,0,,0.17652123122230867,0.5827810282500485,0.26389827488684187,7.796609700625952,6.171834332690122,0.0,0.0,0.0,0
2023/12/07/12:16:46.132304,62,0,0,,0.2,0.5986224674707167,0.25650457158128814,8.105529965679263,6.27056248568699,0.0,0.0,0.0,0
2023/12/07/12:16:46.530837,63,0,0,,0.2,0.5637802183957888,0.21716225435576067,8.269594091497082,6.331438074558246,0.0,0.0,0.0,0
2023/12/07/12:16:46.928952,64,0,0,,0.19273383476009823,0.5906978526642969,0.24765765190086084,8.427864167762493,6.399533549378379,0.0,0.0,0.0,0
2023/12/07/12:16:47.327599,65,0,0,,0.1943225390130788,0.5924990510855772,0.25520243719680086,8.580126695812156,6.451851089918695,0.0,0.0,0.0,0
2023/12/07/12:16:47.726660,66,0,0,,0.17735227534201656,0.5780105151896717,0.25947964026935944,8.639390204321261,6.448693840328893,0.0,0.0,0.0,0
2023/12/07/12:16:48.124636,67,0,0,,0.19436718359117228,0.5919691358744519,0.24883965482840092,8.761456745198544,6.446906910055164,0.0,0.0,0.0,0
2023/12/07/12:16:48.522754,68,0,0,,0.1951244959106713,0.5886100051394286,0.2966733306192769,8.927203600299617,6.472644258042972,0.0,0.0,0.0,0
2023/12/07/12:16:48.920318,69,0,0,,0.18207803365825703,0.5757104680905665,0.3063522730274816,9.07792250380495,6.494979708821522,0.0,0.0,0.0,0
2023/12/07/12:16:49.318196,70,0,0,,0.18321755540175644,0.5784750471190648,0.280634195185823,9.215005288608019,6.511966052474181,0.0,0.0,0.0,0
2023/12/07/12:16:49.717055,71,0,0,,0.18624890335600416,0.5789848610089542,0.31803345323487303,9.344801649206126,6.558380720893723,0.0,0.0,0.0,0
