time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading,.flag
2023/12/06/18:40:42.007167,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023/12/06/18:40:42.406074,1,0,0,,0.048616964498923866,0.27348561155214307,0.057911312836832624,0.037753402713924994,2.999671396505905,0.0,0.0,0.0,0
2023/12/06/18:40:42.805034,2,0,0,,0.051923251975953884,0.29794576560932473,0.08297309398251088,0.04145395055573792,3.0345979242526924,0.0,0.0,0.0,0
2023/12/06/18:40:43.203010,3,0,0,,0.05350289178842351,0.3026977418101091,0.11372086309055442,0.04201366190579325,3.037246846000774,0.0,0.0,0.0,0
2023/12/06/18:40:43.601388,4,0,0,,0.17933303506260725,0.7306939076786325,0.19864527921702008,0.21723957084637677,3.0523359547448137,0.0,0.0,0.0,0
2023/12/06/18:40:43.999612,5,0,0,,0.1754012791071451,0.7254681230676636,0.21708344030422144,0.31043267502792604,3.0535574245372565,0.0,0.0,0.0,0
2023/12/06/18:40:44.396725,6,0,0,,0.1745327102946648,0.7256255486501789,0.2569111728453292,0.3731140934293016,3.0463529663558435,0.0,0.0,0.0,0
2023/12/06/18:40:44.794477,7,0,0,,0.2,0.6714489302674,0.333073952005392,0.5106299800165724,3.061930061380304,0.0,0.0,0.0,0
2023/12/06/18:40:45.192770,8,0,0,,0.2,0.6457963959476716,0.3458686715676101,0.6699787134417308,3.0808035783100634,0.0,0.0,0.0,0
2023/12/06/18:40:45.590664,9,0,0,,0.17358311141037586,0.6001024458464861,0.3504340045699492,0.7424047951395836,3.1081011126396376,0.0,0.0,0.0,0
2023/12/06/18:40:45.988889,10,0,0,,0.2,0.6271856788147565,0.3731883454935752,0.9023037851568138,3.18420755786476,0.0,0.0,0.0,0
2023/12/06/18:40:46.387612,11,0,0,,0.17844998010346882,0.6055236285490788,0.35064273389800626,0.9685340558826463,3.22736168032826,0.0,0.0,0.0,0
2023/12/06/18:40:46.785650,12,0,0,,0.2,0.6380073114214259,0.37657472302204625,1.104658387226132,3.335605239643844,0.0,0.0,0.0,0
2023/12/06/18:40:47.184323,13,0,0,,0.19990138265793408,0.648028038788432,0.3457228202895785,1.2511956771970352,3.4007104582925662,0.0,0.0,0.0,0
2023/12/06/18:40:47.582445,14,0,0,,0.17392884846136886,0.5914221362053766,0.3517394890399891,1.3431654921209337,3.4252886175210473,0.0,0.0,0.0,0
2023/12/06/18:40:47.980584,15,0,0,,0.1767263837257178,0.6030414242003354,0.367196585281759,1.453948688113034,3.4681069927268076,0.0,0.0,0.0,0
2023/12/06/18:40:48.379411,16,0,0,,0.18711197275872324,0.6219239494774995,0.356207817842678,1.5838216951128647,3.5158863585112874,0.0,0.0,0.0,0
2023/12/06/18:40:48.778866,17,0,0,,0.17279168447847876,0.5893144287438679,0.35756549314523123,1.644050917741393,3.5566963985856628,0.0,0.0,0.0,0
2023/12/06/18:40:49.176767,18,0,0,,0.2,0.6447281780733922,0.36325216698730084,1.7910771977220616,3.666513714724773,0.0,0.0,0.0,0
